run	sample_id	sample	replicate
ERR528724	ERS475330	LD-61	Run3
ERR528725	ERS475331	LD-62	Run3
ERR528726	ERS475332	LD-63	Run3
ERR528727	ERS475333	LD-64	Run3
ERR528728	ERS475334	LD-64	Run5
ERR528729	ERS475335	LD-65	Run3
ERR528730	ERS475336	LD-65	Run4
ERR528731	ERS475337	LD-65	Run6
ERR528732	ERS475338	LD-66	Run3
ERR528733	ERS475339	LD-67	Run3
ERR528734	ERS475340	LD-67	Run4
ERR528735	ERS475341	LD-68	Run5
ERR528736	ERS475342	LD-69	Run3
ERR528737	ERS475343	LD-7	Run1
ERR528738	ERS475344	LD-70	Run3
ERR528739	ERS475345	LD-70	Run4
ERR528740	ERS475346	LD-71	Run3
ERR528741	ERS475347	LD-71	Run4
ERR528742	ERS475348	LD-72	Run3
ERR528743	ERS475349	LD-73	Run3
ERR528744	ERS475350	LD-74	Run3
ERR528745	ERS475351	LD-75	Run3
ERR528746	ERS475352	LD-76	Run3
ERR528747	ERS475353	LD-77	Run4
ERR528748	ERS475354	LD-78	Run4
ERR528749	ERS475355	LD-79	Run4
ERR532377	ERS475204	HD-81	Run6
ERR532378	ERS475356	LD-8	Run1
ERR532379	ERS475357	LD-80	Run4
ERR532380	ERS475358	LD-81	Run4
ERR532381	ERS475359	LD-82	Run4
ERR532382	ERS475360	LD-83	Run4
ERR532383	ERS475361	LD-84	Run4
ERR532384	ERS475362	LD-85	Run4
ERR532385	ERS475363	LD-86	Run4
ERR532386	ERS475364	LD-87	Run4
ERR532387	ERS475365	LD-87	Run6
ERR532388	ERS475366	LD-88	Run4
ERR532389	ERS475367	LD-89	Run6
ERR532390	ERS475369	LD-90	Run6
ERR532391	ERS475370	LD-91	Run6
ERR532392	ERS475371	LD-92	Run6
ERR532393	ERS475372	LD-93	Run3
ERR532394	ERS475373	LD-94	Run3
ERR532618	ERS475368	LD-9	Run1
ERR532619	ERS475374	LD-95	Run4
ERR532620	ERS475375	LD-96	Run2
ERR532621	ERS475376	LD-97	Run2
ERR532622	ERS475377	LD-98	Run3
ERR532623	ERS475378	LD-98	Run5
