"sample"	"env"	"dataset"
"Anterior.nares..763759525"	"Anterior.nares"	"HMP"
"Anterior.nares..764062976"	"Anterior.nares"	"HMP"
"Anterior.nares..765034022"	"Anterior.nares"	"HMP"
"Anterior.nares..765074482"	"Anterior.nares"	"HMP"
"Anterior.nares..823052294"	"Anterior.nares"	"HMP"
"Anterior.nares..763840445"	"Anterior.nares"	"HMP"
"Anterior.nares..763901136"	"Anterior.nares"	"HMP"
"Anterior.nares..764224817"	"Anterior.nares"	"HMP"
"Anterior.nares..764447348"	"Anterior.nares"	"HMP"
"Anterior.nares..763435843"	"Anterior.nares"	"HMP"
"Anterior.nares..338793263"	"Anterior.nares"	"HMP"
"Anterior.nares..764143897"	"Anterior.nares"	"HMP"
"Anterior.nares..764508039"	"Anterior.nares"	"HMP"
"Anterior.nares..764487809"	"Anterior.nares"	"HMP"
"Anterior.nares..765620695"	"Anterior.nares"	"HMP"
"Anterior.nares..764083206"	"Anterior.nares"	"HMP"
"Anterior.nares..764042746"	"Anterior.nares"	"HMP"
"Anterior.nares..764649650"	"Anterior.nares"	"HMP"
"Anterior.nares..764325968"	"Anterior.nares"	"HMP"
"Anterior.nares..765094712"	"Anterior.nares"	"HMP"
"Anterior.nares..765337473"	"Anterior.nares"	"HMP"
"Anterior.nares..765013792"	"Anterior.nares"	"HMP"
"Anterior.nares..764892411"	"Anterior.nares"	"HMP"
"Anterior.nares..404239096"	"Anterior.nares"	"HMP"
"Anterior.nares..706846339"	"Anterior.nares"	"HMP"
"Anterior.nares..763982056"	"Anterior.nares"	"HMP"
"Anterior.nares..764305738"	"Anterior.nares"	"HMP"
"Anterior.nares..763860675"	"Anterior.nares"	"HMP"
"Anterior.nares..861967750"	"Anterior.nares"	"HMP"
"Anterior.nares..765560005"	"Anterior.nares"	"HMP"
"Anterior.nares..737052003"	"Anterior.nares"	"HMP"
"Anterior.nares..158398106"	"Anterior.nares"	"HMP"
"Anterior.nares..159672603"	"Anterior.nares"	"HMP"
"Anterior.nares..765640925"	"Anterior.nares"	"HMP"
"Retroauricular.crease..159490532"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..159571453"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..160400887"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..160603188"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..159591683"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..159611913"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..763961826"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..763496533"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..764224817"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..764447348"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..338793263"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..764083206"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..764042746"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..765094712"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..404239096"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..764305738"	"Retroauricular.crease"	"HMP"
"Retroauricular.crease..159450072"	"Retroauricular.crease"	"HMP"
"Subgingival.plaque..763961826"	"Subgingival.plaque"	"HMP"
"Subgingival.plaque..763577454"	"Subgingival.plaque"	"HMP"
"Subgingival.plaque..763496533"	"Subgingival.plaque"	"HMP"
"Subgingival.plaque..763435843"	"Subgingival.plaque"	"HMP"
"Subgingival.plaque..764042746"	"Subgingival.plaque"	"HMP"
"Stool..764305738"	"Stool"	"HMP"
"Stool..764083206"	"Stool"	"HMP"
"Stool..159490532"	"Stool"	"HMP"
"Stool..159571453"	"Stool"	"HMP"
"Stool..159713063"	"Stool"	"HMP"
"Stool..159915365"	"Stool"	"HMP"
"Stool..160400887"	"Stool"	"HMP"
"Stool..160582958"	"Stool"	"HMP"
"Stool..160603188"	"Stool"	"HMP"
"Stool..160765029"	"Stool"	"HMP"
"Stool..159591683"	"Stool"	"HMP"
"Stool..160319967"	"Stool"	"HMP"
"Stool..160178356"	"Stool"	"HMP"
"Stool..160643649"	"Stool"	"HMP"
"Stool..158337416"	"Stool"	"HMP"
"Stool..158802708"	"Stool"	"HMP"
"Stool..158883629"	"Stool"	"HMP"
"Stool..159005010"	"Stool"	"HMP"
"Stool..158256496"	"Stool"	"HMP"
"Stool..160704339"	"Stool"	"HMP"
"Stool..159247771"	"Stool"	"HMP"
"Stool..159207311"	"Stool"	"HMP"
"Stool..159227541"	"Stool"	"HMP"
"Stool..246515023"	"Stool"	"HMP"
"Stool..159510762"	"Stool"	"HMP"
"Stool..160421117"	"Stool"	"HMP"
"Stool..158479027"	"Stool"	"HMP"
"Stool..158742018"	"Stool"	"HMP"
"Stool..159632143"	"Stool"	"HMP"
"Stool..160502038"	"Stool"	"HMP"
"Stool..159551223"	"Stool"	"HMP"
"Stool..159369152"	"Stool"	"HMP"
"Stool..158924089"	"Stool"	"HMP"
"Stool..159814214"	"Stool"	"HMP"
"Stool..160218816"	"Stool"	"HMP"
"Stool..638754422"	"Stool"	"HMP"
"Stool..159753524"	"Stool"	"HMP"
"Stool..809635352"	"Stool"	"HMP"
"Stool..370425937"	"Stool"	"HMP"
"Stool..604812005"	"Stool"	"HMP"
"Stool..158499257"	"Stool"	"HMP"
"Stool..160158126"	"Stool"	"HMP"
"Stool..159268001"	"Stool"	"HMP"
"Stool..158944319"	"Stool"	"HMP"
